,SeriousDlqin2yrs
57836,0
132895,0
27981,0
37852,0
103813,0
110782,0
85133,0
33379,0
50451,0
130975,0
132528,0
58932,0
81397,1
911,0
31519,0
49015,0
146405,0
9042,0
69433,0
41769,0
126085,0
44704,0
23013,0
29657,0
12126,0
104897,0
26561,0
20803,0
39151,0
76312,0
111269,0
90217,0
138725,1
101582,0
114850,0
72245,0
57404,1
96886,0
76315,0
31430,0
39760,0
94057,0
76317,0
63035,0
12063,0
93373,0
10120,0
100202,0
85577,0
77448,0
97230,0
15139,0
85590,0
148770,0
17422,0
5579,0
144297,0
108499,0
78399,0
38494,0
54933,0
23495,0
146367,0
132472,0
2004,0
41661,0
133920,0
37158,0
58543,0
77395,0
82207,0
49094,0
28411,0
71025,0
25640,0
56873,0
3364,0
101905,0
102397,0
114945,0
34281,0
40118,0
74556,0
113086,0
25075,0
133380,1
81721,0
65703,0
79218,0
89886,0
104068,1
114753,0
119371,0
41627,0
94123,0
2595,0
40468,1
8035,0
44696,0
117514,0
132601,0
47281,0
42065,0
79012,0
63030,0
65736,0
23932,0
49559,0
77556,0
65638,0
79084,0
97295,1
54750,0
20956,1
98544,0
49554,0
77978,0
83562,0
75992,0
5592,0
26018,1
122734,0
101525,1
41099,0
145586,0
35597,0
115139,0
67920,0
65414,0
7537,0
146203,0
15922,1
93700,0
147840,0
63527,0
75427,0
84664,0
52347,1
148129,0
91489,0
57427,0
66427,0
16181,0
22535,0
129619,0
143668,0
6717,0
56041,0
79514,0
141723,0
68680,0
24834,0
25733,0
45307,1
110644,0
145008,0
33004,0
75861,0
115456,0
123697,1
13431,0
103215,0
104733,0
140521,1
72206,0
27006,0
95255,1
25806,0
57632,0
307,0
48968,0
148774,0
116742,0
14206,0
49720,0
85898,0
123713,0
141757,0
142997,0
27630,0
25592,0
106218,1
85576,0
29710,0
88495,0
43092,0
65930,0
142228,0
137186,0
24331,1
2488,0
36995,0
77893,0
15250,0
117236,0
111121,0
34091,0
136447,0
62888,0
86741,1
5757,0
66043,0
113968,0
113156,0
33074,0
127451,1
132891,0
9724,0
75400,0
116032,0
97012,0
7459,0
71112,0
144565,0
7395,0
75715,0
33125,0
2577,0
101794,0
29475,0
136115,0
15273,0
80146,0
5198,1
100022,1
104244,0
134220,0
131251,0
92516,0
75585,1
146397,0
19943,0
69763,0
41203,0
64119,1
7340,0
89792,0
124475,0
35753,0
36275,0
71771,0
3304,0
55868,0
97856,0
82671,1
124741,0
4667,0
95736,1
126908,0
